NCTNumber,StudyResults,Sex,Age,Phases,Enrollment,FunderType,StudyType
NCT06224192,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,100,INDUSTRY,INTERVENTIONAL
NCT00689832,NO,ALL,CHILD,PHASE4,487,INDUSTRY,INTERVENTIONAL
NCT01049243,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,20,OTHER,INTERVENTIONAL
NCT04220411,YES,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",17,INDUSTRY,INTERVENTIONAL
NCT04990440,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,6,INDUSTRY,INTERVENTIONAL
NCT04008784,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,16,OTHER,OBSERVATIONAL
NCT00654355,YES,ALL,CHILD,PHASE4,30,OTHER,INTERVENTIONAL
NCT00445081,NO,ALL,ADULT,PHASE4,66,OTHER,INTERVENTIONAL
NCT02456480,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,37,INDUSTRY,INTERVENTIONAL
NCT02601703,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,1110,INDUSTRY,INTERVENTIONAL
NCT04090229,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,52,OTHER,INTERVENTIONAL
NCT00985894,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,183,OTHER,INTERVENTIONAL
NCT00267826,NO,ALL,"ADULT, OLDER_ADULT",NA,6,OTHER,INTERVENTIONAL
NCT04791319,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,199,INDUSTRY,INTERVENTIONAL
NCT03085303,NO,ALL,"ADULT, OLDER_ADULT",NA,87,INDUSTRY,INTERVENTIONAL
NCT02102841,NO,ALL,"ADULT, OLDER_ADULT",NA,0,OTHER,INTERVENTIONAL
NCT04179760,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",92,INDUSTRY,INTERVENTIONAL
NCT01789619,NO,ALL,"ADULT, OLDER_ADULT",NA,9,OTHER,OBSERVATIONAL
NCT02651714,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,168,INDUSTRY,INTERVENTIONAL
NCT03676933,NO,ALL,CHILD,PHASE2,5,INDUSTRY,INTERVENTIONAL
NCT03346434,YES,ALL,CHILD,"PHASE2,PHASE3",202,INDUSTRY,INTERVENTIONAL
NCT01691209,NO,ALL,ADULT,NA,0,INDUSTRY,INTERVENTIONAL
NCT01471119,NO,ALL,ADULT,PHASE2,239,OTHER,INTERVENTIONAL
NCT00833079,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,500,INDUSTRY,INTERVENTIONAL
NCT02365246,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,15,OTHER,INTERVENTIONAL
NCT03428100,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,463,INDUSTRY,INTERVENTIONAL
NCT02094287,NO,ALL,"ADULT, OLDER_ADULT",NA,166,OTHER,INTERVENTIONAL
NCT01179529,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,NA,OTHER,INTERVENTIONAL
NCT03356977,YES,ALL,CHILD,PHASE4,137,INDUSTRY,INTERVENTIONAL
NCT03018691,YES,ALL,CHILD,PHASE2,73,INDUSTRY,INTERVENTIONAL
NCT03736967,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,206,INDUSTRY,INTERVENTIONAL
NCT04081350,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,48,INDUSTRY,INTERVENTIONAL
NCT01678092,NO,ALL,"CHILD, ADULT",PHASE1,8,OTHER,INTERVENTIONAL
NCT03826901,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,46,INDUSTRY,INTERVENTIONAL
NCT05905133,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,360,INDUSTRY,INTERVENTIONAL
NCT05137093,NO,ALL,"ADULT, OLDER_ADULT",NA,27,INDUSTRY,OBSERVATIONAL
NCT01927705,NO,ALL,ADULT,"PHASE1,PHASE2",34,INDUSTRY,INTERVENTIONAL
NCT00795496,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,50,OTHER,OBSERVATIONAL
NCT01467362,NO,ALL,CHILD,PHASE3,251,INDUSTRY,INTERVENTIONAL
NCT01826461,NO,ALL,CHILD,PHASE2,151,INDUSTRY,INTERVENTIONAL
NCT00931411,YES,ALL,CHILD,NA,73,INDUSTRY,INTERVENTIONAL
NCT01402414,NO,ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL
NCT03687359,NO,ALL,CHILD,NA,1845,INDUSTRY,OBSERVATIONAL
NCT01299610,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,25,INDUSTRY,INTERVENTIONAL
NCT05517850,NO,ALL,"ADULT, OLDER_ADULT",NA,168,OTHER,INTERVENTIONAL
NCT02211417,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,102,INDUSTRY,INTERVENTIONAL
NCT02910011,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,23,OTHER,INTERVENTIONAL
NCT01216059,NO,ALL,CHILD,NA,26,OTHER,INTERVENTIONAL
NCT00666302,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,413,INDUSTRY,INTERVENTIONAL
NCT01702181,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,92,INDUSTRY,INTERVENTIONAL
NCT01785602,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,103,INDUSTRY,INTERVENTIONAL
NCT06436183,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,60,INDUSTRY,INTERVENTIONAL
NCT03864627,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,33,INDUSTRY,INTERVENTIONAL
NCT04262791,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,16,INDUSTRY,INTERVENTIONAL
NCT03750643,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,128,INDUSTRY,INTERVENTIONAL
NCT00806221,YES,ALL,CHILD,PHASE2,22,OTHER,INTERVENTIONAL
NCT01949311,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,2733,INDUSTRY,INTERVENTIONAL
NCT02864498,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,321,INDUSTRY,INTERVENTIONAL
NCT00771121,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,NA,INDUSTRY,INTERVENTIONAL
NCT03096223,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,26,INDUSTRY,INTERVENTIONAL
NCT00231998,NO,ALL,CHILD,PHASE3,240,INDUSTRY,INTERVENTIONAL
NCT03568071,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,207,INDUSTRY,INTERVENTIONAL
NCT03954158,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,81,INDUSTRY,INTERVENTIONAL
NCT03849716,NO,ALL,CHILD,NA,266,INDUSTRY,OBSERVATIONAL
NCT03754309,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,89,INDUSTRY,INTERVENTIONAL
NCT03107611,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,654,INDUSTRY,INTERVENTIONAL
NCT03000595,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,0,INDUSTRY,INTERVENTIONAL
NCT00460083,NO,ALL,CHILD,PHASE4,35,INDUSTRY,INTERVENTIONAL
NCT02534467,NO,ALL,CHILD,PHASE4,60,OTHER,INTERVENTIONAL
NCT04740892,NO,ALL,CHILD,NA,31,INDUSTRY,INTERVENTIONAL
NCT06554847,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,400,INDUSTRY,INTERVENTIONAL
NCT02210780,YES,ALL,ADULT,PHASE2,194,INDUSTRY,INTERVENTIONAL
NCT00914186,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,122,INDUSTRY,INTERVENTIONAL
NCT05642208,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,256,OTHER,INTERVENTIONAL
NCT00379678,NO,ALL,"ADULT, OLDER_ADULT",NA,28,OTHER,OBSERVATIONAL
NCT02945657,YES,ALL,CHILD,PHASE2,32,INDUSTRY,INTERVENTIONAL
NCT01393158,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,16,OTHER,INTERVENTIONAL
NCT00666159,NO,ALL,CHILD,PHASE4,226,INDUSTRY,INTERVENTIONAL
NCT00667160,NO,ALL,CHILD,PHASE4,426,INDUSTRY,INTERVENTIONAL
NCT00257569,NO,ALL,CHILD,PHASE3,278,INDUSTRY,INTERVENTIONAL
NCT03345914,YES,ALL,CHILD,PHASE3,367,INDUSTRY,INTERVENTIONAL
NCT03297502,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,582,INDUSTRY,INTERVENTIONAL
NCT01993420,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,21,INDUSTRY,INTERVENTIONAL
NCT02925793,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,327,INDUSTRY,INTERVENTIONAL
NCT01177566,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,20,INDIV,INTERVENTIONAL
NCT02219633,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,30,INDUSTRY,INTERVENTIONAL
NCT02748993,NO,ALL,CHILD,"PHASE1,PHASE2",56,INDUSTRY,INTERVENTIONAL
NCT01124318,NO,ALL,ADULT,"PHASE2,PHASE3",90,INDUSTRY,INTERVENTIONAL
NCT05090631,NO,ALL,ADULT,NA,600,OTHER,OBSERVATIONAL
NCT02534428,NO,ALL,CHILD,NA,39,OTHER,INTERVENTIONAL
NCT01447381,NO,ALL,CHILD,NA,250,OTHER,OBSERVATIONAL
NCT00846235,NO,ALL,ADULT,PHASE4,24,INDUSTRY,INTERVENTIONAL
NCT02583022,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,74,INDUSTRY,INTERVENTIONAL
NCT03907228,NO,ALL,CHILD,NA,102,INDUSTRY,INTERVENTIONAL
NCT00673725,NO,ALL,CHILD,PHASE4,49,INDUSTRY,INTERVENTIONAL
NCT03770858,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,23,OTHER,OBSERVATIONAL
NCT03245385,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,INTERVENTIONAL
NCT02595073,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,124,INDUSTRY,INTERVENTIONAL
NCT01518478,NO,ALL,ADULT,EARLY_PHASE1,40,NIH,INTERVENTIONAL
NCT00690105,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,577,INDUSTRY,INTERVENTIONAL
NCT00893230,NO,ALL,CHILD,PHASE3,88,OTHER,INTERVENTIONAL
NCT02757729,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,192,INDUSTRY,INTERVENTIONAL
NCT02002208,YES,ALL,ADULT,PHASE2,142,INDUSTRY,INTERVENTIONAL
NCT02525094,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,113,INDUSTRY,INTERVENTIONAL
NCT01045486,NO,ALL,CHILD,NA,36,OTHER,INTERVENTIONAL
NCT02655679,YES,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",104,INDUSTRY,INTERVENTIONAL
NCT00455429,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,84,INDUSTRY,INTERVENTIONAL
NCT00557284,YES,ALL,CHILD,PHASE4,20,OTHER,INTERVENTIONAL
NCT02067234,NO,ALL,CHILD,NA,0,OTHER,INTERVENTIONAL
NCT03908970,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,364,INDUSTRY,INTERVENTIONAL
NCT00723489,YES,ALL,ADULT,"PHASE1,PHASE2",82,NIH,INTERVENTIONAL
NCT05843422,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,56,INDUSTRY,INTERVENTIONAL
NCT03058783,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,328,INDUSTRY,INTERVENTIONAL
NCT05259774,NO,ALL,CHILD,NA,50,INDUSTRY,INTERVENTIONAL
NCT01098734,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,148,INDUSTRY,INTERVENTIONAL
NCT03257215,NO,ALL,CHILD,PHASE4,50,OTHER,INTERVENTIONAL
NCT02407756,YES,ALL,CHILD,PHASE2,78,INDUSTRY,INTERVENTIONAL
NCT00106496,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,410,INDUSTRY,INTERVENTIONAL
NCT00232011,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,160,INDUSTRY,INTERVENTIONAL
NCT01320579,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,159,INDUSTRY,INTERVENTIONAL
NCT00351052,NO,ALL,"CHILD, ADULT",PHASE3,184,INDUSTRY,INTERVENTIONAL
NCT05177328,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,17,NIH,INTERVENTIONAL
NCT00832585,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,5,OTHER,INTERVENTIONAL
NCT00098150,NO,ALL,"ADULT, OLDER_ADULT",NA,66,INDUSTRY,OBSERVATIONAL
NCT02496546,NO,MALE,"ADULT, OLDER_ADULT",PHASE1,30,INDUSTRY,INTERVENTIONAL
NCT00125333,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",75,INDUSTRY,INTERVENTIONAL
NCT00703573,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,209,INDUSTRY,INTERVENTIONAL
NCT03002571,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,338,INDUSTRY,INTERVENTIONAL
NCT00392067,NO,MALE,ADULT,PHASE2,75,INDUSTRY,INTERVENTIONAL
NCT02634905,NO,ALL,"CHILD, ADULT",NA,178,OTHER,INTERVENTIONAL
NCT02465606,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,55,INDUSTRY,INTERVENTIONAL
NCT01093469,YES,ALL,CHILD,PHASE4,39,OTHER,INTERVENTIONAL
NCT00871208,NO,ALL,CHILD,PHASE4,0,OTHER,INTERVENTIONAL
NCT05470114,NO,ALL,ADULT,PHASE2,13,INDUSTRY,INTERVENTIONAL
NCT02795832,YES,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",53,INDUSTRY,INTERVENTIONAL
NCT03868098,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,31,OTHER,INTERVENTIONAL
NCT00697710,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",37,INDUSTRY,INTERVENTIONAL
NCT02340234,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,212,INDUSTRY,INTERVENTIONAL
NCT03581747,NO,ALL,"ADULT, OLDER_ADULT",NA,1000,OTHER,OBSERVATIONAL
NCT05253755,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,10,INDUSTRY,INTERVENTIONAL
NCT02647086,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,14,INDUSTRY,INTERVENTIONAL
NCT02424253,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,98,INDUSTRY,INTERVENTIONAL
NCT02896101,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,755,INDUSTRY,INTERVENTIONAL
NCT02920411,NO,ALL,CHILD,NA,43,INDUSTRY,INTERVENTIONAL
NCT03725722,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,251,INDUSTRY,INTERVENTIONAL
NCT02683928,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,64,INDUSTRY,INTERVENTIONAL
NCT00475605,NO,ALL,CHILD,NA,8071,INDUSTRY,OBSERVATIONAL
NCT00117377,NO,MALE,"ADULT, OLDER_ADULT",PHASE4,70,INDUSTRY,INTERVENTIONAL
NCT01986933,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,264,INDUSTRY,INTERVENTIONAL
NCT02347176,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,204,INDUSTRY,INTERVENTIONAL
NCT00919763,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,102,INDUSTRY,INTERVENTIONAL
NCT01469767,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,10,OTHER,INTERVENTIONAL
NCT04699695,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,500,OTHER,OBSERVATIONAL
NCT02589392,YES,ALL,CHILD,NA,120,INDUSTRY,INTERVENTIONAL
NCT06094179,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",126,INDUSTRY,INTERVENTIONAL
NCT00550472,NO,ALL,ADULT,NA,30,OTHER,INTERVENTIONAL
NCT02612454,NO,ALL,CHILD,PHASE3,880,INDUSTRY,INTERVENTIONAL
NCT02791308,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,587,INDUSTRY,INTERVENTIONAL
NCT05807113,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,44,INDUSTRY,INTERVENTIONAL
NCT05786976,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,44,INDUSTRY,INTERVENTIONAL
NCT00121381,NO,ALL,CHILD,PHASE4,400,INDUSTRY,INTERVENTIONAL
NCT02379910,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",36,INDUSTRY,INTERVENTIONAL
NCT00121316,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,200,INDUSTRY,INTERVENTIONAL
NCT00130364,NO,ALL,CHILD,PHASE4,200,INDUSTRY,INTERVENTIONAL
NCT04180644,NO,ALL,CHILD,NA,20,OTHER,OBSERVATIONAL
NCT04306965,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,10,OTHER,INTERVENTIONAL
NCT01447758,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,58,INDUSTRY,INTERVENTIONAL
NCT02395133,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,422,INDUSTRY,INTERVENTIONAL
NCT01737710,YES,FEMALE,ADULT,NA,368,NIH,INTERVENTIONAL
NCT01326520,NO,ALL,ADULT,NA,39,OTHER,INTERVENTIONAL
NCT01772056,NO,ALL,CHILD,PHASE3,54,OTHER,INTERVENTIONAL
NCT00146003,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,10,OTHER,INTERVENTIONAL
NCT01475994,NO,ALL,"ADULT, OLDER_ADULT",NA,18,OTHER,INTERVENTIONAL
NCT05222516,NO,ALL,CHILD,PHASE2,63,INDUSTRY,INTERVENTIONAL
NCT02182570,NO,ALL,CHILD,PHASE3,62,INDUSTRY,INTERVENTIONAL
NCT02900131,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,34,OTHER,INTERVENTIONAL
NCT00367393,NO,ALL,ADULT,PHASE4,41,INDUSTRY,INTERVENTIONAL
NCT00691145,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,350,INDUSTRY,INTERVENTIONAL
NCT01231854,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,15,OTHER,INTERVENTIONAL
NCT01859988,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,380,INDUSTRY,INTERVENTIONAL
NCT03663673,NO,ALL,"CHILD, ADULT",PHASE1,17,OTHER,INTERVENTIONAL
NCT02182557,NO,ALL,CHILD,PHASE3,162,INDUSTRY,INTERVENTIONAL
NCT00509990,NO,ALL,CHILD,PHASE4,200,INDUSTRY,INTERVENTIONAL
NCT03873220,NO,ALL,CHILD,NA,62,OTHER,OBSERVATIONAL
NCT05451316,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,200,INDUSTRY,OBSERVATIONAL
NCT02835170,NO,ALL,"CHILD, ADULT, OLDER_ADULT","PHASE2,PHASE3",51,OTHER,INTERVENTIONAL
NCT03539601,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,237,INDUSTRY,INTERVENTIONAL
NCT00927212,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,5,INDUSTRY,INTERVENTIONAL
NCT01005823,NO,ALL,ADULT,PHASE1,36,INDUSTRY,INTERVENTIONAL
NCT02094235,NO,ALL,CHILD,"PHASE1,PHASE2",62,INDUSTRY,INTERVENTIONAL
NCT00139581,NO,ALL,CHILD,PHASE4,NA,INDUSTRY,INTERVENTIONAL
NCT02260986,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,740,INDUSTRY,INTERVENTIONAL
NCT05732454,NO,ALL,"ADULT, OLDER_ADULT","PHASE2,PHASE3",58,INDUSTRY,INTERVENTIONAL
NCT00534508,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,14,INDUSTRY,INTERVENTIONAL
NCT00925730,NO,ALL,"CHILD, ADULT",PHASE4,20,INDUSTRY,INTERVENTIONAL
NCT05639738,NO,ALL,ADULT,NA,12,INDUSTRY,INTERVENTIONAL
NCT00120523,YES,ALL,CHILD,PHASE3,2418,INDUSTRY,INTERVENTIONAL
NCT02176551,NO,ALL,CHILD,PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT02176538,NO,ALL,CHILD,PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT00124709,YES,ALL,CHILD,PHASE4,1091,INDUSTRY,INTERVENTIONAL
NCT00801957,NO,ALL,CHILD,PHASE2,260,INDUSTRY,INTERVENTIONAL
NCT00583895,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,25,INDUSTRY,INTERVENTIONAL
NCT00691262,NO,ALL,CHILD,PHASE3,166,INDUSTRY,INTERVENTIONAL
NCT06011629,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,400,OTHER,INTERVENTIONAL
NCT04185584,NO,ALL,"ADULT, OLDER_ADULT",NA,92,INDUSTRY,OBSERVATIONAL
NCT01548404,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,109,INDUSTRY,INTERVENTIONAL
NCT04730024,NO,ALL,"ADULT, OLDER_ADULT",NA,102,INDUSTRY,OBSERVATIONAL
NCT00690807,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,30,INDUSTRY,INTERVENTIONAL
NCT00616538,NO,ALL,"CHILD, ADULT",PHASE4,121,INDUSTRY,INTERVENTIONAL
NCT03898427,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,100,OTHER,OBSERVATIONAL
NCT01139450,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,899,INDUSTRY,INTERVENTIONAL
NCT02537509,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,111,OTHER,INTERVENTIONAL
NCT02103725,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,30,INDUSTRY,INTERVENTIONAL
NCT01995747,NO,ALL,"ADULT, OLDER_ADULT",NA,52,OTHER,OBSERVATIONAL
NCT01385657,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,37,INDUSTRY,INTERVENTIONAL
NCT02343861,NO,ALL,"ADULT, OLDER_ADULT",NA,24,OTHER,INTERVENTIONAL
NCT00690833,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,41,OTHER,INTERVENTIONAL
NCT00883311,NO,ALL,ADULT,PHASE2,32,INDUSTRY,INTERVENTIONAL
NCT00822783,NO,ALL,"CHILD, ADULT",PHASE4,NA,OTHER,INTERVENTIONAL
NCT01732510,YES,ALL,"ADULT, OLDER_ADULT",PHASE1,65,INDUSTRY,INTERVENTIONAL
NCT00406081,NO,ALL,CHILD,NA,69,NIH,OBSERVATIONAL
NCT00810862,NO,ALL,CHILD,PHASE4,18,OTHER,INTERVENTIONAL
NCT01053247,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,793,INDUSTRY,INTERVENTIONAL
NCT00356642,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,45,INDUSTRY,INTERVENTIONAL
NCT00882245,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,93,INDUSTRY,INTERVENTIONAL
NCT01959113,YES,ALL,"ADULT, OLDER_ADULT",PHASE1,5,OTHER,INTERVENTIONAL
NCT01840605,YES,ALL,CHILD,PHASE3,303,INDUSTRY,INTERVENTIONAL
NCT00316602,YES,ALL,ADULT,PHASE2,632,INDUSTRY,INTERVENTIONAL
NCT02576093,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,58,INDUSTRY,INTERVENTIONAL
NCT04033367,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,188,INDUSTRY,INTERVENTIONAL
NCT04339985,NO,ALL,"CHILD, ADULT",PHASE2,220,INDUSTRY,INTERVENTIONAL
NCT06499766,NO,ALL,"ADULT, OLDER_ADULT",NA,12,INDUSTRY,INTERVENTIONAL
NCT02585986,NO,ALL,CHILD,NA,51,INDUSTRY,INTERVENTIONAL
NCT00660127,NO,ALL,"ADULT, OLDER_ADULT",NA,25,OTHER,OBSERVATIONAL
NCT00610142,NO,ALL,ADULT,PHASE2,20,OTHER,INTERVENTIONAL
NCT01063218,NO,ALL,CHILD,PHASE4,74,INDUSTRY,INTERVENTIONAL
NCT06136767,NO,ALL,"CHILD, ADULT",NA,400,OTHER,OBSERVATIONAL
NCT02277743,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,671,INDUSTRY,INTERVENTIONAL
NCT01228513,NO,ALL,ADULT,PHASE2,263,INDUSTRY,INTERVENTIONAL
NCT02595008,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,24,INDUSTRY,INTERVENTIONAL
NCT00944632,NO,ALL,ADULT,PHASE2,64,INDUSTRY,INTERVENTIONAL
NCT06241118,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,249,INDUSTRY,INTERVENTIONAL
NCT01244230,NO,ALL,CHILD,"PHASE2,PHASE3",100,INDUSTRY,INTERVENTIONAL
NCT02755649,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,325,INDUSTRY,INTERVENTIONAL
NCT02277769,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,708,INDUSTRY,INTERVENTIONAL
NCT00693693,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,26,OTHER,INTERVENTIONAL
NCT01065714,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,20,OTHER,INTERVENTIONAL
NCT00119158,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,90,OTHER,INTERVENTIONAL
NCT04878770,NO,ALL,"CHILD, ADULT",NA,318,OTHER,INTERVENTIONAL
NCT04192513,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,9,INDUSTRY,INTERVENTIONAL
NCT00946478,YES,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL
NCT01639040,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,31,INDUSTRY,INTERVENTIONAL
NCT02058186,NO,ALL,"CHILD, ADULT",NA,20,OTHER,INTERVENTIONAL
NCT00523952,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,303,INDUSTRY,INTERVENTIONAL
NCT01375205,YES,ALL,CHILD,NA,100,OTHER,INTERVENTIONAL
NCT02466152,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,11,INDUSTRY,INTERVENTIONAL
NCT04612062,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,28,INDUSTRY,INTERVENTIONAL
NCT00368719,NO,ALL,CHILD,PHASE4,0,OTHER,INTERVENTIONAL
NCT00376129,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,10,OTHER,INTERVENTIONAL
NCT00980629,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,NA,INDUSTRY,INTERVENTIONAL
NCT02627989,NO,ALL,"ADULT, OLDER_ADULT",NA,55,INDUSTRY,OBSERVATIONAL
NCT03175354,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,209,INDUSTRY,INTERVENTIONAL
NCT02098551,NO,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,OBSERVATIONAL
NCT00691366,NO,ALL,ADULT,NA,45,OTHER,OBSERVATIONAL
